,artist_name,track_name,release_date,danceability,energy,key,loudness,mode,speechiness,accousticness,instrumentalness,liveness,valence,tempo,popularity,cluster
137,Post Malone,Cold,2016-12-09,0.654,0.564,4,-7.763,0,0.0403,0.609,6.37e-06,0.10300000000000001,0.267,132.983,0,0
138,T-Pain,Church,2008-01-03,0.79,0.807,1,-5.56,1,0.14,0.0644,3.05e-05,0.34,0.9640000000000001,80.01899999999999,46,7
139,KYLE,iSpy (feat. Lil Yachty),2016-12-02,0.746,0.653,7,-6.745,1,0.289,0.37799999999999995,0.0,0.22899999999999998,0.672,75.016,74,5
140,Chance the Rapper,All Night (feat. Knox Fortune),2016-05-27,0.7040000000000001,0.777,2,-5.729,1,0.195,0.0358,0.0,0.151,0.392,111.921,67,5
141,Rihanna,Bitch Better Have My Money,2015-03-26,0.7809999999999999,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,0,7
142,Post Malone,No Option,2016-12-09,0.655,0.725,2,-5.055,1,0.053,0.0877,0.0,0.252,0.46299999999999997,84.014,0,7
143,Post Malone,Candy Paint,2017-10-20,0.765,0.688,4,-5.566,1,0.0841,0.633,0.0,0.0734,0.434,90.01299999999999,1,7
144,NF,Let You Down,2017-09-15,0.6579999999999999,0.715,5,-5.688,0,0.122,0.319,0.0,0.18100000000000002,0.473,147.993,50,3
145,A Boogie Wit da Hoodie,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),2017-09-07,0.611,0.478,0,-5.8389999999999995,1,0.107,0.035,0.0,0.107,0.138,172.076,0,3
146,PnB Rock,Scrub,2017-11-10,0.541,0.695,5,-6.376,0,0.233,0.0815,0.0,0.0624,0.541,158.009,0,3
147,The Presets,My People,2008-04-12,0.563,0.915,5,-2.452,1,0.0363,0.0149,1.3500000000000001e-05,0.17600000000000002,0.263,126.98200000000001,54,3
148,Big Sean,Pull Up N Wreck (With Metro Boomin),2017-11-03,0.596,0.43799999999999994,10,-7.307,1,0.478,0.0109,0.000106,0.17300000000000001,0.10400000000000001,115.884,0,2
149,T-Pain,Turn All the Lights On,2012-04-27,0.6970000000000001,0.807,6,-3.049,0,0.0587,0.0382,0.0,0.47100000000000003,0.732,127.01,30,1
150,BROCKHAMPTON,TOKYO,2017-08-25,0.632,0.625,2,-5.781000000000001,1,0.29100000000000004,0.0644,0.0,0.6890000000000001,0.535,139.981,57,4
151,G-Eazy,No Limit,2017-09-07,0.838,0.7709999999999999,1,-3.7910000000000004,1,0.244,0.0117,0.0,0.0853,0.405,175.957,3,3
152,Rihanna,Rude Boy,2009-11-20,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.90599999999998,0,3
153,BROCKHAMPTON,SWEET,2017-08-25,0.718,0.628,10,-6.007000000000001,0,0.223,0.5429999999999999,0.0,0.11599999999999999,0.722,92.10700000000001,67,1
154,Drake,God's Plan,2018-01-20,0.755,0.44799999999999995,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179,5,7
155,Drake,Diplomatic Immunity,2018-01-20,0.6629999999999999,0.846,0,-5.226,1,0.45299999999999996,0.00472,0.0,0.292,0.526,75.137,0,7
156,Tee Grizzley,First Day Out,2017-04-07,0.5870000000000001,0.711,1,-6.33,1,0.42,0.171,0.0,0.125,0.381,98.008,72,2
157,Bru-C,Don't Wanna Know,2017-07-07,0.7959999999999999,0.884,11,-5.409,0,0.161,0.214,2.77e-06,0.16399999999999998,0.35,134.03799999999998,50,1
158,Migos,Stir Fry,2018-01-26,0.8170000000000001,0.816,2,-5.402,1,0.26899999999999996,0.00263,0.0,0.159,0.508,181.982,72,3
159,SOB X RBE,Paramedic!,2018-02-09,0.858,0.647,1,-5.398,1,0.14300000000000002,0.16,0.0,0.14300000000000002,0.466,97.04700000000001,0,7
160,A$AP Ferg,Plain Jane REMIX (feat. Nicki Minaj),2017-12-15,0.7909999999999999,0.8390000000000001,11,-4.284,1,0.266,0.0588,6.26e-05,0.259,0.38299999999999995,170.113,73,3
161,Offset,Ric Flair Drip (& Metro Boomin),2017-10-30,0.88,0.428,9,-8.28,1,0.20600000000000002,0.149,5.07e-05,0.114,0.33299999999999996,100.007,81,5
162,Saweetie,ICY GRL,2017-12-15,0.927,0.563,7,-5.827000000000001,1,0.175,0.0306,0.0,0.0736,0.8420000000000001,103.31200000000001,0,7
163,A Boogie Wit da Hoodie,Ransom,2016-10-28,0.755,0.69,1,-4.823,1,0.161,0.0133,0.0,0.078,0.336,175.928,54,3
164,BlocBoy JB,Look Alive (feat. Drake),2018-02-09,0.922,0.581,10,-7.495,1,0.27,0.0010400000000000001,5.8599999999999995e-05,0.105,0.595,140.02200000000002,76,2
165,50 Cent,I'm The Man,2016-02-12,0.79,0.45,8,-7.571000000000001,0,0.195,0.335,0.0,0.125,0.273,98.064,67,2
166,Kanye West,Blood On The Leaves,2013-06-18,0.397,0.69,2,-4.1080000000000005,0,0.195,0.395,0.0,0.10099999999999999,0.36,172.07299999999998,66,3
167,Kanye West,Send It Up,2013-06-18,0.579,0.544,9,-5.193,1,0.35200000000000004,0.292,7.41e-05,0.282,0.365,93.56200000000001,56,2
168,Tyga,Faded,2012-01-01,0.841,0.631,1,-8.755,1,0.24100000000000002,0.0196,0.0,0.32299999999999995,0.32799999999999996,95.075,0,7
